actor,movie_or_TV_name
Steve Coogan,The Lateish Show with Mo Gilligan
Steve Coogan,The Professor and the Madman
Steve Coogan,This Time with Alan Partridge
Steve Coogan,Stan & Ollie
Steve Coogan,Holmes & Watson
Steve Coogan,Ideal Home
Steve Coogan,Hot Air
Steve Coogan,Irreplaceable You
Steve Coogan,"Alan Partridge: Why, When, Where, How And Whom?"
Steve Coogan,The Trip to Spain
Steve Coogan,Despicable Me 3
Steve Coogan,Shepherds and Butchers
Steve Coogan,The Dinner
Steve Coogan,Dying Laughing
Steve Coogan,Rules Don't Apply
Steve Coogan,Mindhorn
Steve Coogan,British Sitcom: 60 Years of Laughing at Ourselves
Steve Coogan,John Bishop: In Conversation With...
Steve Coogan,The Secret Life of Pets
Steve Coogan,Alan Partridge's Scissored Isle
Steve Coogan,Minions
Steve Coogan,HAPPYish
Steve Coogan,Misery Loves Comedy
Steve Coogan,Night at the Museum: Secret of the Tomb
Steve Coogan,The Lost Honour of Christopher Jefferies
Steve Coogan,Northern Soul
Steve Coogan,The Kate Bush Story: Running Up That Hill
Steve Coogan,One Rogue Reporter
Steve Coogan,The Trip to Italy
Steve Coogan,Late Night with Seth Meyers
Steve Coogan,The Tonight Show Starring Jimmy Fallon
Steve Coogan,Off Camera with Sam Jones
Steve Coogan,Philomena
Steve Coogan,Steve Coogan : Stand Up Down Under
Steve Coogan,Alan Partridge: Alpha Papa
Steve Coogan,Despicable Me 2
Steve Coogan,What Maisie Knew
Steve Coogan,The Look of Love
Steve Coogan,Uncle Wormsley's Christmas
Steve Coogan,Moone Boy
Steve Coogan,Ruby Sparks
Steve Coogan,Alan Partridge on Open Books with Martin Bryce
Steve Coogan,Alan Partridge: Welcome to the Places of My Life
Steve Coogan,Evidently... John Cooper Clarke
Steve Coogan,Mid Morning Matters with Alan Partridge
Steve Coogan,Darkwood Manor
Steve Coogan,Our Idiot Brother
Steve Coogan,The Trip
Steve Coogan,Conan
Steve Coogan,The Trip
Steve Coogan,The Other Guys
Steve Coogan,Work of Art: The Next Great Artist
Steve Coogan,Neighbors from Hell
Steve Coogan,Marmaduke
Steve Coogan,Percy Jackson & the Olympians: The Lightning Thief
